,linkSeq,linkID,offsetSeq,offsetStart,offsetEnd,existStation,existSignal,signalOffset,signalGreenPhaseLength,siganlRedPhaseLength,isIntersection,existPedWalk,existOverpass,MaxSpeed,SignalGroup,SignalNumber,SignalName
79,10,A2214B001657,15,35000,37500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
80,10,A2214B001657,16,37500,40000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
81,10,A2214B001657,17,40000,42500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
82,10,A2214B001657,18,42500,45000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
83,10,A2214B001657,19,45000,47500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
84,10,A2214B001657,20,47500,50000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
85,10,A2214B001657,21,50000,52500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
86,10,A2214B001657,22,52500,55000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
87,10,A2214B001657,23,55000,57500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
88,10,A2214B001657,24,57500,60000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
89,10,A2214B001657,25,60000,63573,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
90,11,A2207G002820,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
91,11,A2207G002820,2,2500,5665,TRUE,TRUE,10.000,115,45,FALSE,FALSE,FALSE,40,7,148,Sejong City Welfare Center for the Disabled
92,12,A2207G003004,1,0,1378,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,40,,,
93,13,A2207G002942,1,0,1986,FALSE,TRUE,10.000,115,45,FALSE,FALSE,FALSE,40,7,148,Sejong City Welfare Center for the Disabled
94,14,A2207G003010,1,0,1371,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,40,,,
95,15,A2207G002818,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
96,15,A2207G002818,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
97,15,A2207G002818,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
98,15,A2207G002818,4,7500,9509,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
99,16,A2207G001367,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
100,16,A2207G001367,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
101,16,A2207G001367,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
102,16,A2207G001367,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
103,16,A2207G001367,5,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
104,16,A2207G001367,6,12500,15000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
105,16,A2207G001367,7,15000,17500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
106,16,A2207G001367,8,17500,20000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
107,16,A2207G001367,9,20000,22500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
108,16,A2207G001367,10,22500,25000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
109,16,A2207G001367,11,25000,27500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
110,16,A2207G001367,12,27500,30000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
111,16,A2207G001367,13,30000,32500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
112,16,A2207G001367,14,32500,35000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
113,16,A2207G001367,15,35000,37500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
114,16,A2207G001367,16,37500,40000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
115,16,A2207G001367,17,40000,42500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
116,16,A2207G001367,18,42500,45000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
117,16,A2207G001367,19,45000,47500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
118,16,A2207G001367,20,47500,50000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
119,16,A2207G001367,21,50000,52500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
120,16,A2207G001367,22,52500,55000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
121,16,A2207G001367,23,55000,57500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
122,16,A2207G001367,24,57500,60777,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
123,17,A2207G002756,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
124,17,A2207G002756,2,2500,4329,TRUE,TRUE,5.000,122,38,FALSE,FALSE,FALSE,40,7,146,SR Park Centum
125,18,A2207G003025,1,0,2500,FALSE,FALSE,0,0,0,TRUE,TRUE,FALSE,40,,,
126,18,A2207G003025,2,2500,4858,FALSE,FALSE,0,0,0,TRUE,TRUE,FALSE,40,,,
127,19,A2207G002750,1,0,487,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
128,20,A2207G002744,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
129,20,A2207G002744,2,2500,6149,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
130,21,A2207G002735,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
131,21,A2207G002735,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
132,21,A2207G002735,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
133,21,A2207G002735,4,7500,9228,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
134,22,A2207G002682,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
135,22,A2207G002682,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
136,22,A2207G002682,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
137,22,A2207G002682,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
138,22,A2207G002682,5,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
139,22,A2207G002682,6,12500,15000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
140,22,A2207G002682,7,15000,17500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
141,22,A2207G002682,8,17500,20000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
142,22,A2207G002682,9,20000,22500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
143,22,A2207G002682,10,22500,25000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
144,22,A2207G002682,11,25000,27500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
145,22,A2207G002682,12,27500,30000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
146,22,A2207G002682,13,30000,32500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
147,22,A2207G002682,14,32500,35000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
148,22,A2207G002682,15,35000,37500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
149,22,A2207G002682,16,37500,40000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
150,22,A2207G002682,17,40000,42500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
151,22,A2207G002682,18,42500,45000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
152,22,A2207G002682,19,45000,47500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
153,22,A2207G002682,20,47500,50000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
154,22,A2207G002682,21,50000,52500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
155,22,A2207G002682,22,52500,55000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
156,22,A2207G002682,23,55000,57232,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,45,,,
157,23,A2207G002683,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
158,23,A2207G002683,2,2500,4825,TRUE,TRUE,93.000,115,45,FALSE,FALSE,FALSE,40,7,2,Ministry of Employment and Labor
159,24,A2207G003035,1,0,2500,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,40,,,
160,24,A2207G003035,2,2500,5691,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,40,,,
161,25,A2207G002956,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
162,25,A2207G002956,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
163,25,A2207G002956,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
164,25,A2207G002956,4,7500,9404,FALSE,TRUE,108.000,85,75,FALSE,FALSE,FALSE,40,7,3,Ministry of Patriots and Veterans Affairs
165,26,A2207G003037,1,0,2500,FALSE,FALSE,0,0,0,TRUE,TRUE,FALSE,40,,,
166,26,A2207G003037,2,2500,4637,FALSE,FALSE,0,0,0,TRUE,TRUE,FALSE,40,,,
167,27,A2207G002955,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
168,27,A2207G002955,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
169,27,A2207G002955,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
170,27,A2207G002955,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
171,27,A2207G002955,5,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
172,27,A2207G002955,6,12500,15000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
173,27,A2207G002955,7,15000,17500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
174,27,A2207G002955,8,17500,19786,TRUE,TRUE,93.000,115,45,FALSE,FALSE,FALSE,40,7,4,"Temporary Parking Lot in 9-dong, Sejong Government Complex"
175,28,A2207G003043,1,0,2500,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,40,,,
176,28,A2207G003043,2,2500,5811,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,40,,,
177,29,A2207G002664,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
178,29,A2207G002664,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
179,29,A2207G002664,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
180,29,A2207G002664,4,7500,10389,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
181,30,A2207G001373,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
182,30,A2207G001373,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
183,30,A2207G001373,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
184,30,A2207G001373,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
185,30,A2207G001373,5,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
186,30,A2207G001373,6,12500,15000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
187,30,A2207G001373,7,15000,17500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
188,30,A2207G001373,8,17500,20000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
189,30,A2207G001373,9,20000,22500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
190,30,A2207G001373,10,22500,25000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
191,30,A2207G001373,11,25000,27500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
192,30,A2207G001373,12,27500,30000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
193,30,A2207G001373,13,30000,32500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
194,30,A2207G001373,14,32500,35000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
195,30,A2207G001373,15,35000,37500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
196,30,A2207G001373,16,37500,40000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
197,30,A2207G001373,17,40000,42500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
198,30,A2207G001373,18,42500,45000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
199,30,A2207G001373,19,45000,47500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
200,30,A2207G001373,20,47500,50000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
201,30,A2207G001373,21,50000,52500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
202,30,A2207G001373,22,52500,55000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
203,30,A2207G001373,23,55000,57500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
204,30,A2207G001373,24,57500,60000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
205,30,A2207G001373,25,60000,63672,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
206,31,A2207G002603,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
207,31,A2207G002603,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
208,31,A2207G002603,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
209,31,A2207G002603,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
210,31,A2207G002603,5,10000,12665,FALSE,TRUE,5.000,115,45,FALSE,FALSE,FALSE,40,7,6,Unit 8 Happiness 1st Apartment
211,32,A2207G003053,1,0,1347,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,40,,,
212,33,A2207G002952,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
213,33,A2207G002952,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
214,33,A2207G002952,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
215,33,A2207G002952,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
216,33,A2207G002952,5,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
217,33,A2207G002952,6,12500,15000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
218,33,A2207G002952,7,15000,17500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
219,33,A2207G002952,8,17500,20356,TRUE,TRUE,5.000,115,45,FALSE,FALSE,FALSE,40,7,7,Sejong Hanshin Hue City
220,34,A2207G003058,1,0,1424,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,40,,,
221,35,A2207G002950,1,0,1893,FALSE,TRUE,5.000,115,45,FALSE,FALSE,FALSE,40,7,7,Sejong Hanshin Hue City
222,36,A2207G003064,1,0,1405,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,40,,,
223,37,A2207G002587,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
224,37,A2207G002587,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
225,37,A2207G002587,3,5000,7517,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
