,linkSeq,linkID,offsetGroup,offsetSeq,offsetStart,offsetEnd,existStation,existSignal,signalOffset,signalGreenPhaseLength,siganlRedPhaseLength,isIntersection,existPedWalk,existOverpass,MaxSpeed,SignalGroup,SignalNumber,SignalName,,,,
53,9,2420055400,13,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
54,9,2420055400,13,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
55,9,2420055400,13,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
56,9,2420055400,13,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
57,9,2420055400,14,1,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
58,9,2420055400,14,2,12500,15000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
59,9,2420055400,14,3,15000,17500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
60,9,2420055400,14,4,17500,20000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
61,9,2420055400,14,5,20000,22000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
62,10,2420059800,15,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
63,10,2420059800,15,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
64,10,2420059800,15,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
65,10,2420059800,15,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
66,10,2420059800,15,5,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
67,10,2420059800,15,6,12500,15700,FALSE,TRUE,58,31,149,FALSE,FALSE,FALSE,5,,,,,,,
68,11,9999999999,16,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
69,11,9999999999,16,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
70,11,9999999999,16,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
71,11,9999999999,16,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
72,11,9999999999,16,5,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
73,11,9999999999,16,6,12500,15000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
74,11,9999999999,16,7,15000,17500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
75,11,9999999999,16,8,17500,20000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
